Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
4676,Recruiting,No Results Available,Child Care ,Behavioral,All,Children Only,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Mexico
4677,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Canada
4678,Not yet recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,801-900 persons,Industry & Others,Interventional,2021,2022,China
4679,Not yet recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2021,2021,Canada
4680,Not yet recruiting,No Results Available,Anxiety,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4681,"Active, not recruiting",No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,,50001-100k persons,NIH Only,Observational,2020,2021,United States of America
4682,"Active, not recruiting",No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2020,United Kingdom
4683,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults Only,Phase 1,1-100 persons,Industry & Others,Interventional,2020,2021,United States of America
4684,Completed,No Results Available,Mental Health,,All,Adults & Older Adults,,501-600 persons,Others Only,Observational,2020,2020,France
4685,"Active, not recruiting",No Results Available,Others,Others,All,Adults Only,Not Applicable,1001-5k persons,Others Only,Interventional,2020,2022,Norway
4686,Completed,No Results Available,Other Acute Diseases & Covid-19,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2019,2020,United States of America
4687,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Industry & Others,Interventional,2021,2022,Others
4688,Recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Turkey
4689,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2020,Others
4690,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
4691,Completed,No Results Available,Anxiety,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Norway
4692,Completed,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,Sweden
4693,Enrolling by invitation,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2020,2020,Turkey
4694,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 2 & Phase 3,5001-10k persons,Industry & Others,Interventional,2021,2023,Others
4695,Not yet recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,50001-100k persons,Others Only,Interventional,2020,2022,United States of America
4696,Completed,No Results Available,Covid-19 Only,Device,All,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
4697,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,601-700 persons,Others & NIH,Observational,2020,2021,United States of America
4698,Completed,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Pakistan
4699,Completed,No Results Available,Anxiety,Others,All,"Children, Adults & Older Adults",,301-400 persons,Others Only,Observational,2020,2020,Pakistan
4700,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,Chile
4701,Not yet recruiting,No Results Available,PTSD & Covid-19,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,Turkey
4702,Completed,No Results Available,Thrombosis & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Italy
4703,Recruiting,No Results Available,ARDS & Covid-19,Device,All,Adults & Older Adults,Not Applicable,1001-5k persons,Industry Only,Interventional,2020,2021,United States of America
4704,Completed,No Results Available,Others,,All,Children Only,,10001-50k persons,Others Only,Observational,2020,2020,France
4705,Not yet recruiting,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2023,United States of America
4706,Not yet recruiting,No Results Available,AKI & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2023,Others
4707,Not yet recruiting,No Results Available,PTSD & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2021,2022,United States of America
4708,Terminated,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1,201-300 persons,Industry Only,Interventional,2020,2021,United States of America
4709,"Active, not recruiting",No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,United States of America
4710,Recruiting,No Results Available,Anxiety,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Italy
4711,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Belgium
4712,Recruiting,No Results Available,Pregnancy & Covid-19,Others,Female,Adults Only,Not Applicable,201-300 persons,Others Only,Interventional,2020,2023,Spain
4713,Completed,No Results Available,Covid-19 Only,,All,Adults Only,,1-100 persons,Others Only,Observational,2020,2020,Turkey
4714,Recruiting,No Results Available,Child Care ,Behavioral,All,Children Only,Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,United States of America
4715,Recruiting,No Results Available,Others,,All,"Children, Adults & Older Adults",,Above 1M persons,Others Only,Observational,2020,2020,Others
4716,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Others Only,Interventional,2020,2021,United States of America
4717,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Industry Only,Interventional,2020,2021,Others
4718,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,50001-100k persons,Others Only,Observational,2020,2021,Canada
4719,Not yet recruiting,No Results Available,Telemedicine,Others,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,United Kingdom
4720,Not yet recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
4721,Recruiting,No Results Available,Cardio Diseases & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,201-300 persons,Others & NIH,Interventional,2021,2021,United States of America
4722,Not yet recruiting,No Results Available,Covid-19 Only,Device,All,"Children, Adults & Older Adults",Not Applicable,901-1k persons,Others Only,Interventional,2020,2023,Canada
4723,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2022,Turkey
4724,"Active, not recruiting",No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,801-900 persons,Others Only,Interventional,2020,2022,Canada
4725,Recruiting,No Results Available,Mental Health,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Hong Kong
4726,Completed,No Results Available,Others,Behavioral,All,Older Adults Only,Not Applicable,201-300 persons,Others Only,Interventional,2020,2020,Canada
4727,"Active, not recruiting",No Results Available,Others,Others,All,Adults & Older Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2020,2022,Canada
4728,Completed,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Belgium
4729,"Active, not recruiting",No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,Above 1M persons,Others Only,Interventional,2020,2021,United States of America
4730,Recruiting,No Results Available,Child Care ,Others,All,Children Only,Not Applicable,301-400 persons,Others Only,Interventional,2020,2022,Brazil
4731,Recruiting,No Results Available,PTSD & Covid-19,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Italy
4732,Completed,No Results Available,Other Chroninc Diseases & Covid-19,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Greece
4733,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,401-500 persons,Industry Only,Interventional,2020,2020,France
4734,"Active, not recruiting",No Results Available,Others,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
4735,Recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,701-800 persons,Others Only,Interventional,2021,2022,Switzerland
4736,Recruiting,No Results Available,Pneumonia & Covid-19,Radiation,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,France
4737,Recruiting,No Results Available,Cancer & Covid-19,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Industry Only,Interventional,2020,2021,United States of America
4738,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Israel
4739,Recruiting,No Results Available,Others,Procedural,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,Others
4740,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 1,201-300 persons,Others Only,Interventional,2020,2021,Others
4741,"Active, not recruiting",No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,Portugal
4742,Recruiting,No Results Available,Infection Viral,Others,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,France
4743,Recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Turkey
4744,Not yet recruiting,No Results Available,Diabetes & Covid-19,Others,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2021,2022,Others
4745,Enrolling by invitation,No Results Available,Others,Dietary Supplement,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Others
4746,Recruiting,No Results Available,Infection Viral,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
4747,Recruiting,No Results Available,Anxiety,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,United Kingdom
4748,Recruiting,No Results Available,Pneumonia & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Hungary
4749,Completed,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2020,India
4750,"Active, not recruiting",No Results Available,Others,Others,All,Children & Adults,,301-400 persons,Others Only,Observational,2020,2022,France
4751,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,France
4752,Completed,No Results Available,Cardio Diseases & Covid-19,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Others
4753,Not yet recruiting,No Results Available,PTSD & Covid-19,Others,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2020,Others
4754,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Others Only,Interventional,2020,2022,United States of America
4755,Completed,No Results Available,Others,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
4756,Recruiting,No Results Available,Cardio Diseases & Covid-19,,All,Adults & Older Adults,,101-200 persons,Others & Industry,Observational,2020,2020,Others
4757,Not yet recruiting,No Results Available,Health Care,Others,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,United Kingdom
4758,Recruiting,No Results Available,Other Chroninc Diseases & Covid-19,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,U.S. Fed Only,Interventional,2020,2021,United States of America
4759,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,United States of America
4760,Completed,No Results Available,ARDS & Covid-19,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Turkey
4761,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,,1-100 persons,Industry & Others,Observational,2020,2021,Canada
4762,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
4763,Completed,No Results Available,Covid-19 Only,Device,All,"Children, Adults & Older Adults",Not Applicable,201-300 persons,Industry Only,Interventional,2020,2020,United States of America
4764,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Older Adults Only,,301-400 persons,Others Only,Observational,2020,2023,France
4765,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,"Children, Adults & Older Adults",,100001-1M persons,Others Only,Observational,2020,2021,United States of America
4766,Terminated,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
4767,Completed,No Results Available,Other Chroninc Diseases & Covid-19,Drug,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2021,2021,Turkey
4768,Not yet recruiting,No Results Available,PTSD & Covid-19,Behavioral,Female,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Others
4769,Not yet recruiting,No Results Available,PTSD & Covid-19,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2021,Others
4770,Not yet recruiting,No Results Available,Anxiety,,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2020,2020,Others
4771,Recruiting,No Results Available,Others,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,Egypt
4772,Completed,No Results Available,SARS-CoV-2 & Covid-19,Dietary Supplement,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2020,Others
4773,Recruiting,No Results Available,Other Chroninc Diseases & Covid-19,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2022,Brazil
4774,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,301-400 persons,Others Only,Interventional,2021,2022,United States of America
4775,Completed,No Results Available,Depression & Covid -19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Turkey
4776,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Pakistan
4777,Recruiting,No Results Available,ARDS & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
4778,Not yet recruiting,No Results Available,Others,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,Others
4779,Not yet recruiting,No Results Available,Mental Health,Behavioral,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4780,Recruiting,No Results Available,Other Chroninc Diseases & Covid-19,,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2021,Korea
4781,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2020,2030,Germany
4782,Recruiting,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Sweden
4783,Not yet recruiting,No Results Available,Mental Health,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2022,Canada
4784,Recruiting,No Results Available,Other Chroninc Diseases & Covid-19,Biological,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,France
4785,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,United States of America
4786,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Others
4787,Recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,United States of America
4788,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Others
4789,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Spain
4790,Not yet recruiting,No Results Available,Others,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,Others
4791,Completed,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,Brazil
4792,Completed,No Results Available,Health Care,Behavioral,All,Children & Adults,Not Applicable,1-100 persons,Others Only,Interventional,2019,2020,United States of America
4793,Completed,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Not Applicable,201-300 persons,Others Only,Interventional,2020,2021,United States of America
4794,Enrolling by invitation,No Results Available,Anxiety,Behavioral,All,"Children, Adults & Older Adults",Not Applicable,901-1k persons,Others Only,Interventional,2020,2021,Brazil
4795,Recruiting,No Results Available,Telemedicine,Others,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,France
4796,Recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,United Kingdom
4797,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,U.S. Fed & Others,Interventional,2020,2020,United States of America
4798,Recruiting,No Results Available,Anxiety,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,United States of America
4799,"Active, not recruiting",No Results Available,Others,,All,Adults & Older Adults,,401-500 persons,Industry Only,Observational,2020,2021,United States of America
4800,Completed,No Results Available,Others,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Others
4801,Completed,No Results Available,Covid-19 Only,,All,Older Adults Only,,101-200 persons,Others Only,Observational,2020,2020,France
4802,Recruiting,No Results Available,Others,Behavioral,All,Adults Only,,1-100 persons,Others Only,Observational,2021,2021,Turkey
4803,Enrolling by invitation,No Results Available,Others,Behavioral,All,Children & Adults,Early Phase 1,1-100 persons,Others Only,Interventional,2021,2021,Canada
4804,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 3,201-300 persons,Industry Only,Interventional,2021,2022,United States of America
4805,"Active, not recruiting",No Results Available,Others,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Spain
4806,Recruiting,No Results Available,Cardio Diseases & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Chile
4807,Not yet recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,1001-5k persons,Others Only,Interventional,2021,2021,Others
4808,Recruiting,No Results Available,Others,Behavioral,All,Children Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Others
4809,Recruiting,No Results Available,Thrombosis & Covid-19,Drug,All,Adults & Older Adults,Phase 3,901-1k persons,Others Only,Interventional,2020,2021,Switzerland
4810,Completed,No Results Available,Health Care,Behavioral,All,"Children, Adults & Older Adults",Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Turkey
4811,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Radiation,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,France
4812,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2021,United States of America
4813,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Belgium
4814,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,Others
4815,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,China
4816,Completed,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2020,Brazil
4817,Recruiting,No Results Available,Others,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others & Industry,Interventional,2020,2022,United States of America
4818,Completed,No Results Available,Others,Diagnostic Test,All,Older Adults Only,,1-100 persons,Others Only,Observational,2020,2021,Turkey
4819,Enrolling by invitation,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2021,United Kingdom
4820,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults Only,Phase 3,1-100 persons,Others Only,Interventional,2020,2020,China
4821,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Italy
4822,Recruiting,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,United States of America
4823,Recruiting,No Results Available,Others,Device,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2021,United Kingdom
4824,Recruiting,No Results Available,Others,Device,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2022,Canada
4825,Recruiting,No Results Available,Depression & Covid -19,Device,All,Children & Adults,Not Applicable,401-500 persons,Industry Only,Interventional,2020,2020,United States of America
4826,Not yet recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4827,Recruiting,No Results Available,Others,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2022,Canada
4828,Enrolling by invitation,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,201-300 persons,Industry Only,Interventional,2020,2020,United States of America
4829,Recruiting,No Results Available,ARDS & Covid-19,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Germany
4830,Not yet recruiting,No Results Available,Others,,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,Others
4831,Recruiting,No Results Available,Covid-19 Only,Drug,All,"Children, Adults & Older Adults",Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Pakistan
4832,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,301-400 persons,Others Only,Interventional,2020,2020,China
4833,"Active, not recruiting",No Results Available,Others,Others,All,"Children, Adults & Older Adults",,301-400 persons,Others Only,Observational,2020,2021,Spain
4834,Recruiting,No Results Available,Others,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2022,China
4835,Not yet recruiting,No Results Available,Others,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Others
4836,Recruiting,No Results Available,Pneumonia & Covid-19,Biological,All,Adults & Older Adults,Phase 4,5001-10k persons,Others Only,Interventional,2016,2023,United States of America
4837,Recruiting,No Results Available,Anxiety,Others,All,"Children, Adults & Older Adults",Not Applicable,10001-50k persons,Others Only,Interventional,2021,2021,Canada
4838,Completed,No Results Available,Others,Behavioral,All,Adults Only,Not Applicable,100001-1M persons,Others Only,Interventional,2020,2020,China
4839,Recruiting,No Results Available,Others,Drug,All,Adults & Older Adults,,101-200 persons,Industry Only,Observational,2020,2021,Russia
4840,Enrolling by invitation,No Results Available,Others,Others,All,Adults & Older Adults,Not Applicable,201-300 persons,Others & U.S. Fed,Interventional,2021,2022,United States of America
4841,"Active, not recruiting",No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,China
4842,Completed,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Industry Only,Interventional,2020,2020,Brazil
4843,Completed,No Results Available,Other Chroninc Diseases & Covid-19,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,France
4844,Completed,No Results Available,Others,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,China
4845,Recruiting,No Results Available,ARDS & Covid-19,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2021,Spain
4846,Recruiting,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,China
4847,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,201-300 persons,Others Only,Interventional,2020,2021,France
4848,Completed,No Results Available,Others,Others,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2020,2020,France
4849,Recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",Phase 2,401-500 persons,Industry & Others,Interventional,2020,2022,China
4850,Not yet recruiting,No Results Available,Cardio Diseases & Covid-19,Device,All,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Others
4851,Recruiting,No Results Available,Covid-19 Only,Others,All,Children Only,Not Applicable,1-100 persons,Others Only,Interventional,2021,2021,Austria
4852,Completed,No Results Available,Others,Others,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2021,2021,Turkey
4853,Not yet recruiting,No Results Available,Depression & Covid -19,Behavioral,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Others
4854,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Industry Only,Interventional,2020,2021,United States of America
4855,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Turkey
4856,Not yet recruiting,No Results Available,Health Care,Behavioral,All,Adults Only,Not Applicable,101-200 persons,Others Only,Interventional,2020,2020,Others
4857,Recruiting,No Results Available,Other Acute Diseases & Covid-19,Drug,All,"Children, Adults & Older Adults",,901-1k persons,Others Only,Observational,2020,2023,France
4858,Recruiting,No Results Available,Cancer & Covid-19,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
4859,"Active, not recruiting",No Results Available,Covid-19 Only,Behavioral,Female,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,Canada
4860,Not yet recruiting,No Results Available,ARDS & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2020,2021,Others
4861,Not yet recruiting,No Results Available,Others,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Others
4862,Enrolling by invitation,No Results Available,Others,Behavioral,All,Adults Only,Not Applicable,100001-1M persons,Others Only,Interventional,2020,2020,China
4863,Completed,No Results Available,Diabetes & Covid-19,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,United States of America
4864,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 4,201-300 persons,Others Only,Interventional,2020,2021,United Kingdom
4865,Completed,No Results Available,Other Chroninc Diseases & Covid-19,Others,All,Adults Only,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,India
4866,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,Others
4867,Completed,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,401-500 persons,Others Only,Interventional,2020,2020,Brazil
4868,Enrolling by invitation,No Results Available,Others,Behavioral,All,Adults Only,Not Applicable,100001-1M persons,Others Only,Interventional,2020,2020,China
